Kode SDS,Nama Data,,Konsep,,Definisi,Penyajian,Isian,Ukuran,Satuan,,
10210035,Jumlah Penyelenggara Pemagangan Luar Negeri,,[K01373] Pemagangan;,,"Banyaknya lembaga pelatihan kerja berizin, perusahaan, instansi pemerintah, atau lembaga pendidikan yang melaksanakan pemagangan di luar negeri.",[32010026] Wilayah;,-,Total,lembaga,,
10210036,Jumlah Perusahaan Jasa Keselamatan dan Kesehatan Kerja (K-3),,[K00016] Keselamatan dan Kesehatan Kerja (K-3);,,Banyaknya perusahaan yang bergerak di bidang jasa keselamatan dan kesehatan kerja (K3) untuk membantu pelaksanaan pemenuhan syarat-syarat keselamatan dan kesehatan kerja (K3) sesuai dengan peraturan perundang- undangan yang berlaku.,"[32010026] Wilayah;
[23020047] Skala
Perusahaan; [23020050] Sumber Penanaman Modal;",-,Total,perusahaan,,
10210037,Jumlah Perusahaan Peserta Jaminan Sosial Ketenagakerjaan,,[K01716] Perusahaan; [K00677] Jaminan Sosial;,,Banyaknya perusahaan yang terdaftar dalam program jaminan sosial ketenagakerjaan.,"[32010026] Wilayah;
[22020004] Jenis
Lapangan Usaha;",-,Total,perusahaan,,
10210038,Jumlah Perusahaan yang Melanggar Tindak Pidana Ketenagakerjaan,,"[K01716] Perusahaan; [K00734] Pidana; [K00915]
Ketenagakerjaan;",,Banyaknya perusahaan yang melakukan perbuatan pidana/kejahatan dalam ketenagakerjaan dan disidik oleh pihak yang berwenang sesuai hukum acara pidana.,"[32010026] Wilayah;
[23020048] Skala
Usaha;
[23020050] Sumber Penanaman Modal;",-,Total,perusahaan,,
10210093,Jumlah Perusahaan yang Menerapkan Norma Keselamatan dan Kesehatan Kerja (K-3),,[K01716] Perusahaan; [K00016] Keselamatan dan Kesehatan Kerja (K-3);,,Banyaknya perusahaan yang menerapkan norma untuk menjamin dan melindungi keselamatan dan kesehatan tenaga kerja melalui upaya pencegahan kecelakaan kerja dan penyakit akibat kerja.,"[32010026] Wilayah;
[22020004] Jenis
Lapangan Usaha;",-,Total,unit usaha,,
10210039,Jumlah Perusahaan yang Menerapkan Struktur Skala Upah,,[K01716] Perusahaan; [K00204] Balas Jasa dan Upah Pekerja;,,Banyaknya perusahaan yang memiliki susunan tingkat upah dari yang terendah sampai dengan yang tertinggi atau dari yang tertinggi sampai dengan yang terendah yang memuat nilai kisaran upah dari yang terkecil maupun yang terendah dalam setiap golongan jabatan.,"[32010026] Wilayah;
[23020050] Sumber Penanaman Modal;",-,Total,perusahaan,,
10210043,Jumlah Peserta Pelatihan,,[K01736] Peserta Pelatihan;,,Banyaknya orang yang ikut serta dalam kegiatan  pengembangan kompetensi sumber daya manusia dalam upaya peningkatan produktivitas tenaga kerja.,[32010026] Wilayah;,-,Total,orang,,
10210041,Jumlah Peserta Pelatihan Berbasis Kompetensi (PBK),,[K01736] Peserta Pelatihan;,,Banyaknya peserta program  pelatihan berbasis kompetensi yang diselenggarakan oleh lembaga yang berwenang.,"[32010026] Wilayah;
[33220007] Jenis
Kelamin;",-,Total,orang,,
10210044,Jumlah Peserta Pemagangan Dalam Negeri,,[K01373] Pemagangan;,,Banyaknya peserta yang terdaftar dan/atau didaftarkan dalam sistem informasi dan aplikasi pelayanan ketenagakerjaan oleh penyelenggara pemagangan dalam negeri dan atau perseorangan.,[32010026] Wilayah;,-,Total,orang,,
10210046,Jumlah Peserta Pemagangan Luar Negeri,,[K01373] Pemagangan;,,"Banyaknya pencari kerja terdaftar yang mengikuti program pemagangan yang menjadi bagian dari sistem pelatihan kerja yang diselenggarakan secara utuh dan terpadu di Indonesia dan di luar negeri oleh lembaga pelatihan kerja atau perusahaan atau instansi pemerintah atau lembaga pendidikan di bawah bimbingan dan pengawasan instruktur dan/atau pekerja yang lebih berpengalaman, dalam proses produksi barang dan/ atau jasa, dalam rangka menguasai keterampilan atau keahlian tertentu.","[32010026] Wilayah;
[33220007] Jenis
Kelamin;",-,Total,orang,,
10210047,Jumlah Program Pelatihan,,[K01811] Program Pelatihan;,,Banyaknya rangkaian panduan yang menjadi pedoman dalam penyelenggaraan pelatihan sesuai standar atau ukuran tertentu yang memuat kurikulum berbasis kompetensi.,[32010026] Wilayah;,-,Total,dokumen,,
10210049,Jumlah Sumber Daya Manusia Iptek,,"[K02077] Sumber Daya Manusia (SDM); [K02357] Ilmu
Pengetahuan; [K02130] Teknologi;",,"Banyaknya orang yang memiliki kompetensi dalam bidang ilmu pengetahuan dan teknologi (iptek) dan bekerja di bidang iptek, dan/atau melaksanakan kegiatan penelitian, pengembangan, pengkajian, dan penerapan iptek (litbangjirap) meliputi: peneliti, perekayasa, dosen, dan SDM Iptek lainnya, serta tercatat dalam organisasi profesi ilmiah.","[32010026] Wilayah;
[10320055] Tingkat Pendidikan;",-,Total,orang,,
10210058,Jumlah Tenaga Kerja Tersertifikasi,,[K02159] Tenaga Kerja; [K02383] Sertifikasi;,,Banyaknya tenaga kerja yang berhasil melalui sertifikasi kompetensi dan mendapatkan  pekerjaan sesuai dengan sertifikat kompetensinya.,"[32010026] Wilayah;
[33220007] Jenis
Kelamin;",-,Total,orang,,
10210057,Jumlah Tenaga Kerja yang Ditempatkan,,[K02159] Tenaga Kerja; [K01486] Penempatan Pekerja;,,Banyaknya pencari kerja yang telah ditempatkan di dalam hubungan kerja dan/atau di luar hubungan kerja untuk mengisi lowongan pekerjaan.,"[32010026] Wilayah;
[33220007] Jenis
Kelamin;",-,Total,orang,,
10210062,Kapasitas Fasilitas Pendidikan dan Pelatihan,,[K02373] Pendidikan; [K01354] Pelatihan;,,Daya tampung peserta pada sarana tempat pendidikan dan pelatihan.,[32010026] Wilayah;,-,Total,orang,,
10210094,Kapasitas Latih Lembaga Pelatihan Kerja,,[K01354] Pelatihan;,,Banyaknya orang maksimum yang dapat dilatih dalam suatu periode waktu untuk program pelatihan tertentu oleh lembaga yang menyelenggarakan pelatihan kerja.,[32010026] Wilayah;,-,Total,orang,,
10210067,Persentase Anak Usia 10—17 Tahun yang Bekerja,,"[K00091] Anak;
[K00237] Bekerja;",,Bagian dari populasi anak berusia 10—17 yang melakukan pekerjaan dengan maksud memperoleh atau membantu memperoleh penghasilan atau keuntungan paling sedikit selama satu jam dalam seminggu terakhir.,"[32010026] Wilayah;
[33220007] Jenis
Kelamin; [10620071] Status Disabilitas;",-,Persentase,persen,,
10210095,Persentase Pekerja pada Sektor Ekonomi Kreatif,,[K01306] Pekerja; [K00417] Ekonomi Kreatif;,,"Bagian dari seluruh pekerja yang melakukan pekerjaan di bidang ekonomi yang menciptakan kekayaan intelektual yang bersumber dari kreativitas berbasis warisan budaya, ilmu pengetahuan, dan/atau teknologi.","[32010026] Wilayah;
[23020097] Subsektor Ekonomi Kreatif;",-,Persentase,persen,,
10210068,Persentase Pekerja Sektor Informal,,[K01306] Pekerja; [K02293] Usaha Sektor Informal;,,Bagian dari total penduduk yang menjadi pekerja pada lapangan kerja informal.,"[32010026] Wilayah;
[33220007] Jenis
Kelamin;
[32020020] Klasifikasi Wilayah;
[10120066] Umur/Usia;
[10320055] Tingkat Pendidikan; [10620071] Status Disabilitas; [22020004] Jenis
Lapangan Usaha;",-,Persentase,persen,,
10210096,Persentase Penduduk yang Bekerja di Sektor Nonpertanian,,[K01476] Penduduk; [K00237] Bekerja;,,Banyaknya orang yang menetap atau berniat menetap lebih dari satu tahun dan melakukan kegiatan selain pertanian untuk memperoleh penghasilan.,[32010026] Wilayah;,-,Persentase,persen,,
10210097,Persentase Tenaga Kerja Pariwisata,,"[K02159] Tenaga Kerja; [K00860]
Kepariwisataan;",,"Bagian dari populasi tenaga kerja di seluruh sektor yang pekerjaannya berhubungan dengan kegiatan perjalanan untuk rekreasi, pelancongan, dan turisme.",[32010026] Wilayah;,-,Persentase,persen,,
10210098,Rasio Nilai Tambah per Pekerja,,[K01228] Nilai Tambah; [K01306] Pekerja;,,Produktivitas pekerja dalam menghasilkan nilai ekonomi suatu produk atau jasa.,[32010026] Wilayah;,-,Rasio,rupiah per tenaga kerja,,
10210072,Rata-rata Hari Kerja Seminggu,,[K02356] Hari Kerja;,,Rata-rata banyaknya hari kerja yang biasanya berlaku di usaha/perusahaan dalam seminggu.,"[32010026] Wilayah;
[33220007] Jenis
Kelamin; [10620071] Status Disabilitas;",-,Rata-rata,hari,,
10210073,Rata-rata Pekerja Disabilitas per Hari Kerja,,[K01306] Pekerja; [K00388] Disabilitas; [K02356] Hari Kerja;,,"Rata-rata banyaknya orang dengan gangguan atau keterbatasan fungsi tubuh selayaknya orang normal yang biasanya bekerja, baik yang dibayar maupun tidak dibayar, pada setiap satu hari kerja.",[32010026] Wilayah;,-,Rata-rata,orang,,
10210074,Rata-rata Pekerja per Hari Kerja,,[K01306] Pekerja; [K02356] Hari Kerja;,,Rata-rata banyaknya orang yang kerja baik yang dibayar maupun tidak dibayar per hari kerja.,[32010026] Wilayah;,-,Rata-rata,orang,,
10210099,Rata-rata Produktivitas Pekerja per Hari Kerja,,[K01306] Pekerja; [K02356] Hari Kerja;,,Tingkat output yang dihasilkan oleh setiap pekerja dalam waktu satu hari kerja.,[32010026] Wilayah;,-,Rasio,dolar Amerika Serikat per tenaga kerja,,
10210100,Tingkat Partisipasi Angkatan Kerja (TPAK),,[K00117] Angkatan Kerja;,,"Bagian dari penduduk berusia 15 tahun ke atas yang bekerja, memiliki pekerjaan tetapi sementara tidak bekerja, dan sedang mencari pekerjaan/menganggur.","[32010026] Wilayah;
[33220007] Jenis
Kelamin;",-,Persentase,persen,,
10210083,Tingkat Pengangguran Terbuka,,"[K01510]
Pengangguran; [K00117]  Angkatan Kerja;",,Bagian dari penduduk dalam angkatan kerja yang tidak terserap ke pasar kerja.,"[32010026] Wilayah;
[32020020] Klasifikasi Wilayah;
[33220007] Jenis
Kelamin;
[10120066] Umur/Usia;
[10620071] Status Disabilitas; [10320055] Tingkat Pendidikan;",-,Persentase,persen,,
10210101,Tingkat Produktivitas Pekerja,,[K01306] Pekerja;,,Besaran kontribusi pekerja dalam pembentukan nilai tambah suatu produk dalam proses kegiatan ekonomi yang dihitung dengan pendekatan rasio antara produk berupa barang  dan jasa dengan banyaknya tenaga kerja yang digunakan dalam satuan waktu tertentu.,"[32010026] Wilayah;
[22020004] Jenis
Lapangan Usaha;",-,Rasio,rupiah per orang,,
10210084,Tingkat Setengah Penganggur,,[K01315] Pekerja Setengah Penganggur;,,Bagian dari penduduk usia kerja yang bekerja kurang dari jam kerja normal (kurang dari 35 jam seminggu) dan masih mencari pekerjaan atau masih bersedia menerima pekerjaan.,"[32010026] Wilayah;
[33220007] Jenis
Kelamin;
[32020020] Klasifikasi Wilayah;
[10120066] Umur/Usia;
[10320055] Tingkat Pendidikan;",-,Persentase,persen,,
,,,,,,[10620071] Status Disabilitas;,,,,,
10310002,Angka Anak Tidak Sekolah,,[K01289] Partisipasi Sekolah;,,Bagian dari anak usia sekolah pada setiap jenjang pendidikan yang tidak terdaftar sebagai peserta didik dalam satuan pendidikan pada jenjang terkait.,"[32010026] Wilayah;
[10320055] Tingkat Pendidikan;",-,Persentase,persen,,
